t,vx_y0.2500,vx_y0.5000,vx_y0.7500,vx_y1.0000,vx_y1.2500,A_drv,f_drive,H,B0y,rho0,yd_bottom
3.0184678781e+00,1.0233285446e-03,1.4709256956e-03,-1.2735734649e-03,2.4729132198e-04,1.3548881549e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0201956798e+00,1.0467219890e-03,1.4708711942e-03,-1.3327823794e-03,2.8963929615e-04,1.2392185363e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0219234816e+00,1.0693898395e-03,1.4707454377e-03,-1.3913249857e-03,3.3256088241e-04,1.1169397582e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0236512834e+00,1.0913120658e-03,1.4705218863e-03,-1.4491467394e-03,3.7600527067e-04,9.8813735512e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0253790852e+00,1.1124708814e-03,1.4699910483e-03,-1.5062119022e-03,4.1991917049e-04,8.5295277451e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0271068870e+00,1.1328506560e-03,1.4690581650e-03,-1.5625118470e-03,4.6424745054e-04,7.1157922284e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0288346888e+00,1.1524380688e-03,1.4676281394e-03,-1.6178760034e-03,5.0893374044e-04,5.6425721436e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0305624906e+00,1.1712224486e-03,1.4656565672e-03,-1.6721927688e-03,5.5392096231e-04,4.1126961388e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0322902923e+00,1.1891959139e-03,1.4630839966e-03,-1.7253933059e-03,5.9915177055e-04,2.5293615878e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0340180941e+00,1.2063536821e-03,1.4598305668e-03,-1.7773635565e-03,6.4456888876e-04,8.9710763048e-06,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0357458959e+00,1.2226941953e-03,1.4558044737e-03,-1.8278589962e-03,6.9011534161e-04,-7.7273507642e-06,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0374736977e+00,1.2382180429e-03,1.4509651130e-03,-1.8769906357e-03,7.3573458763e-04,-2.4808486250e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0392014994e+00,1.2529276844e-03,1.4451992131e-03,-1.9248330141e-03,7.8137056466e-04,-4.2265875326e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0409293012e+00,1.2668281386e-03,1.4383749099e-03,-1.9714355744e-03,8.2696766444e-04,-6.0083070248e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0426571030e+00,1.2799283007e-03,1.4303662123e-03,-2.0168295537e-03,8.7247065557e-04,-7.8236321727e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0443849047e+00,1.2922398888e-03,1.4210762815e-03,-2.0610326521e-03,9.1782457329e-04,-9.6696707537e-05,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0461127065e+00,1.3037772268e-03,1.4104338230e-03,-2.1040525039e-03,9.6297459266e-04,-1.1543174772e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0478405083e+00,1.3145583315e-03,1.3983874113e-03,-2.1458894365e-03,1.0078659092e-03,-1.3440656923e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0495683100e+00,1.3245991650e-03,1.3849029287e-03,-2.1865387526e-03,1.0524436518e-03,-1.5358469007e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
