zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.47,13.32,4565,68601543150885.664,5.00095216103203,0.21245312041312817,1.6986629819925607,0.09428677975834912,1.1992896908172501,0.2920632478849379,0.05206226563872431,0.08876291978701639,0.17825681942438343,0.3039167729244238,0.0740129098637789,1.9392613201062023,3.7887146631556625
16.48,13.75,4587,67283517967309.23,4.917381434020252,0.2002872868903353,1.64968036806465,0.08621379235592835,1.131725821614141,0.26360465070406364,0.044317847214163625,0.10127401676613808,0.16812240260479,0.38418903648188507,0.08948635334810554,1.9232061269759968,3.7150802526610036
16.49,13.08,4557,69480101921036.76,5.0559493087643785,0.19969048982832377,1.6888998890372033,0.09230010311641447,1.26035569407696,0.31055700433679323,0.05213420558796682,0.08967939935318647,0.1678732241100196,0.2887695273358924,0.07115403990685701,1.8999199989861575,3.8352898566517664
16.5,13.54,4579,67983193333101.54,4.97014377248742,0.21052877816506727,1.6747770614853699,0.0910551432865713,1.0890261374329642,0.2759103229413019,0.04865130489760152,0.0029072825694763473,0.17633013646956502,0.010537056165509444,0.0026696168893883022,2.1641099040838485,3.76017899417864
16.51,13.3,4572,69013679128285.84,5.033387910204283,0.2187770658510876,1.7063544151798187,0.09542736663859502,1.199689541844897,0.29055973803774676,0.052760984258690316,0.08400404107051822,0.18158394764189975,0.2891110848248535,0.07002148317583547,1.968627266207318,3.810961829840465
16.52,13.35,4578,68688637215044.266,5.019949742517725,0.2106039868455539,1.6971563534154916,0.09431555795604395,1.219690246431136,0.2979097499398299,0.05256217270148546,0.09220903583172356,0.1764365641342778,0.3095200336690807,0.07560037157100419,1.9252274939094183,3.8069347910283873
16.53,12.86,4555,70616358774282.11,5.143570508046272,0.15301014889465805,1.6006658363564914,0.08051884052580487,1.353367412902733,0.4043574438682944,0.057062598893832674,0.0030248555574195787,0.14111919975539972,0.007480647638095224,0.002235058660775495,1.945258995544251,3.917673249676868
16.54,13.59,4592,68050827042300.99,4.9821378140263075,0.20988053242327293,1.6822242148138395,0.09125051507167597,1.0924362906129506,0.2818994417907221,0.04965463800023718,0.002960472716127532,0.1761430873534685,0.010501875056302318,0.002709972875824596,2.168939593228552,3.77184458731879
16.55,13.03,4568,70214047200995.81,5.107312759595406,0.2315992837785435,1.7634791443260451,0.10388764897817196,1.3472037517100592,0.25666489013518995,0.03238859233502499,0.16339595468909107,0.12619019421770286,0.6366120220144934,0.12128525806262497,1.8095508962444224,3.880871861338658
16.56,13.1,4573,69812997794619.305,5.089190117483127,0.20715174186868077,1.7023671162865428,0.09524582075191133,1.3002957953894003,0.3086294822994397,0.05218462616008344,0.11302450172766698,0.16908503287269447,0.36621420897828516,0.08692214658267004,1.8570975609488718,3.8638286734137206
