mode,rho_cut,y,rho,N2
rescaled_domain,0.1,0.26932941851065617,0.8660799185225948,1.0730247892570037
rescaled_domain,0.1,0.2841228238307536,0.8520550642172616,1.1334180141578076
rescaled_domain,0.1,0.29915228767351537,0.8372705262515183,1.1950489934439201
rescaled_domain,0.1,0.31440137554088965,0.8217515053832156,1.2578894895509376
rescaled_domain,0.1,0.32985341277917846,0.8055290892577215,1.3219127680805927
rescaled_domain,0.1,0.34549150281252644,0.788639910657734,1.3870940134733578
rescaled_domain,0.1,0.3612985456190778,0.7711259745274264,1.4534065906299567
rescaled_domain,0.1,0.37725725642960045,0.7530342440187496,1.5208306754076377
rescaled_domain,0.1,0.39335018462812665,0.7344161118417647,1.5893498982470253
rescaled_domain,0.1,0.4095597328339451,0.7153269485091096,1.6589491073670954
rescaled_domain,0.1,0.42586817614407896,0.6958255100709325,1.7296156841582069
rescaled_domain,0.1,0.44225768151520706,0.675973361717452,1.801339543326842
rescaled_domain,0.1,0.4587103272638339,0.6558342089806614,1.8741166698020777
rescaled_domain,0.1,0.4752081226633889,0.6354731948854854,1.9479451927870077
rescaled_domain,0.1,0.49173302761682075,0.6149562986040858,2.0228254251827784
rescaled_domain,0.1,0.5082669723831792,0.5943496210763279,2.098762937340434
rescaled_domain,0.1,0.5247918773366113,0.5737187433610806,2.1757662335284587
rescaled_domain,0.1,0.5412896727361662,0.5531281045338639,2.2538468371717886
rescaled_domain,0.1,0.5577423184847932,0.5326404198521922,2.333020268076853
rescaled_domain,0.1,0.574131823855921,0.5123161210880852,2.4133048326175293
rescaled_domain,0.1,0.5904402671660549,0.4922128953061035,2.494720675495702
rescaled_domain,0.1,0.6066498153718736,0.47238524633620116,2.577292004574512
rescaled_domain,0.1,0.6227427435703996,0.45288411452085303,2.6610450780061963
rescaled_domain,0.1,0.6387014543809224,0.4337565980922766,2.7460072764535326
rescaled_domain,0.1,0.6545084971874737,0.41504571097829235,2.8322049541274352
rescaled_domain,0.1,0.6701465872208214,0.39679025701035137,2.9196645678034234
rescaled_domain,0.1,0.6855986244591104,0.37902468756113367,3.0084169042887092
rescaled_domain,0.1,0.7008477123264848,0.3617790465331624,3.098486617896549
rescaled_domain,0.1,0.7158771761692464,0.34507906991027226,3.18989405275287
rescaled_domain,0.1,0.7306705814893439,0.3289461921544592,3.282654253459335
rescaled_domain,0.1,0.745211751915254,0.3133977414465595,3.3767782949482643
rescaled_domain,0.1,0.7594847868906076,0.29844700524746315,3.4722723189810596
rescaled_domain,0.1,0.7734740790612136,0.28410350679696106,3.5691259092924463
rescaled_domain,0.1,0.7871643313414718,0.27037321722868146,3.6673184349106633
rescaled_domain,0.1,0.8005405736415125,0.2572588031888181,3.766814339142739
rescaled_domain,0.1,0.8135881792367685,0.24475990148273524,3.867558697324219
rescaled_domain,0.1,0.8262928807620843,0.23287340643013443,3.9694788508194088
rescaled_domain,0.1,0.8386407858128706,0.22159373264433618,4.072476405819902
rescaled_domain,0.1,0.8506183921362442,0.21091314401026862,4.17642927662182
rescaled_domain,0.1,0.8622126023955445,0.20082198602119639,4.2811904592403405
rescaled_domain,0.1,0.873410738492077,0.1913090038241056,4.386564433953003
rescaled_domain,0.1,0.8842005554284296,0.18236165324275547,4.492320984339125
